dc:identifier,dc:title,dc:subject1,is part of,dc:description,dc:date,dc:spatial,dc:language,dc:interviewee,dc:interviewer,dc:performer,dc:performer,dc:performer,dc:performer,dc:performer,dc:contributor (recordist),dc:contributor (speaker),dc:extent,dc:subject2,dc:subject3,dc:subject4,dc:subject4
C1002X0076XX-0400,"Joseph MacLawrence interview, part 04",1CDR0007356 (copy of C1002/76),Keith Summers Collection,Interviewee notes: Fiddler from the Island of St Lucia. Short interview section - Joseph MacLawrence talks about how (in his time) they had no instruments in the churches at St Lucia,1985,"Kilburn, London, England, UK",,"McLawrence, Joseph, 1930- (speaker, male)","Summers, Keith (speaker, male, interviewer)",,,,,,"Summers, Keith (recordist)",,00:02:23,,,,
C1002X0078XX-1900,"Jimmy ('Holy Jim') Knights interview, part 02",1CDR0010645 (copy of C1002/78),Keith Summers Collection,"Interviewee notes: From Debach, Suffolk. age 94. Jimmy Knights talks about playing the banjo, the tunes that he knew. The Americans [Servicemen] that used to play music in the area. [Rehearses Racliff highway]",1974-04,"Little Glemham, Suffolk, England, UK",,"Knights, Jimmy, 'Holy Jim',  1880 - (speaker, male)","Summers, Keith (speaker, male interviewer)",,,,,,"Summers, Keith (recordist)",,00:02:29,,,,
C1002X0078XX-2800,"Jimmy ('Holy Jim') Knights interview, part 04",1CDR0010645 (copy of C1002/78),Keith Summers Collection,"Interviewee notes: From Debach, Suffolk. age 94. Jimmy Knights talks briefly about Charlie Baldry and Bob Scarce",1974-04,"Little Glemham, Suffolk, England, UK",,"Knights, Jimmy, 'Holy Jim',  1880 - (speaker, male)","Summers, Keith (speaker, male interviewer)","Knights, Jimmy, 'Holy Jim',  1880 - (speaker, male  interviewee)",,,,,"Summers, Keith (recordist)",,00:02:27,,,,
C1002X0078XX-2200,"Jimmy ('Holy Jim') Knights interview, part 03",1CDR0010645 (copy of C1002/78),Keith Summers Collection,"Interviewee notes: From Debach, Suffolk. age 94. Jimmy Knights talks briefly about other singers and musicians in the area",1974-04,"Little Glemham, Suffolk, England, UK",,"Knights, Jimmy, 'Holy Jim',  1880 - (speaker, male)","Summers, Keith (speaker, male interviewer)","Knights, Jimmy, 'Holy Jim',  1880 - (speaker, male  interviewee)",,,,,"Summers, Keith (recordist)",,00:01:30,,,,
C1002X0013XX-0400,"William ('Jumbo') Brightwell interview, part 02",1CDR0007365 (copy of C1002/13),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:01:07,,,,
C1002X0013XX-0600,"William ('Jumbo') Brightwell interview, part 03",1CDR0007365 (copy of C1002/13),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:01:20,,,,
C1002X0013XX-0800,"William ('Jumbo') Brightwell interview, part 04",1CDR0007365 (copy of C1002/13),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:01:56,,,,
C1002X0013XX-1000,"William ('Jumbo') Brightwell interview, part 05",1CDR0007365 (copy of C1002/13),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:01:29,,,,
C1002X0013XX-1100,"William ('Jumbo') Brightwell interview, part 06",1CDR0007365 (copy of C1002/13),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:00:45,,,,
C1002X0014XX-0500,"William ('Jumbo') Brightwell interview, part 08",1CDR0007365 (copy of C1002/14),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:00:59,,,,
C1002X0014XX-0600,"William ('Jumbo') Brightwell interview, part 09",1CDR0007365 (copy of C1002/14),Keith Summers Collection,"Interviewee notes: From Little Glemham, Suffolk. Later based at Leiston. ",ca. 1975,"Leiston, Suffolk, England, UK",,"Brightwell, William ('Jumbo'), 1900- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:01:32,,,,hunting horn
